Incident #,County,Fire Name,Start,Cont.,DPA,Total,Type,Cause,Dest.,Dam.,Fire,Civil
MCP ,SAN DIEGO ,ALPHA ,05/04/18 ,05/05/18 ,MIL ,300 ,G ,UNDETERMINED ,,,,
SNF-493 ,FRESNO ,LIONS ,06/11/18 ,07/14/18 ,USFS ,"12,990 ","B, T ",LIGHTNING ,,,,
NOD-2938 ,LASSEN ,TUMBLEWEED ,06/14/18 ,06/17/18 ,BLM ,646 ,"B, G ",HUMAN ,,,,
BOB-4636 ,SAN LUIS OBISPO ,YANKEE ,06/20/18 ,06/22/18 ,MIL ,"1,500 ",G ,UNDETERMINED ,,,,
MCP-1837 ,SAN DIEGO ,PENDLETON COMPLEX ,07/06/18 ,07/10/18 ,MIL ,"1,520 ",G ,UNDETERMINED ,,,,
CNF-2238 ,SAN DIEGO ,WEST ,07/06/18 ,07/10/18 ,USFS ,505 ,"B, G ",UNDETERMINED ,48 ,14 ,,
INF-1071 ,INYO ,GEORGES ,07/08/18 ,07/23/18 ,USFS ,"2,941 ","B, T ",UNDETERMINED ,,,,
CHI-7178 ,BUTTE ,STONEY ,07/12/18 ,07/20/18 ,LOCAL ,"1,000 ","B, G ",UNDETERMINED ,,,,
NOD-3575 ,MODOC ,EAGLE ,07/13/18 ,07/20/18 ,BLM ,"2,100 ","B, G, T ",UNDETERMINED ,,,,
SNF-745 ,MERCED ,FERGUSON ,07/13/18 ,08/22/18 ,USFS ,"96,901 ","B, G, T ",UNDETERMINED ,11 ,2 ,,
BDF-11390 ,RIVERSIDE ,CRANSTON ,07/25/18 ,08/09/18 ,USFS ,"13,139 ","B, G, T ",HUMAN ,12 ,5 ,,
LNF-3951 ,LASSEN ,WHALEBACK ,07/27/18 ,08/06/18 ,USFS ,"18,703 ","B, T ",UNDETERMINED ,,,,
YUB-6117 ,SUTTER ,BUTTE ,07/31/18 ,08/02/18 ,LOCAL ,"1,000 ","B, G ",UNDETERMINED ,,,,
INF-1394 ,INYO ,OWENS ,07/31/18 ,08/05/18 ,USFS ,338 ,B ,UNDETERMINED ,,,,
OVD-1396 ,INYO ,HOTCREEK ,07/31/18 ,08/05/18 ,BLM ,419 ,B ,UNDETERMINED ,,,,
MNF-874 ,MENDOCINO ,EEL ,07/31/18 ,08/08/18 ,USFS ,972 ,"B, G ",HUMAN ,10 ,,,
STF-1702 ,ALPINE ,DONNELL ,08/01/18 ,10/31/18 ,USFS ,"36,450 ","B, T ",UNDETERMINED ,135 ,,,
CNF-2664 ,ORANGE ,HOLY ,08/06/18 ,09/14/18 ,USFS ,"23,025 ","B, G ",ARSON ,24 ,18 ,,
SHF-1223 ,SHASTA ,HIRZ ,08/09/18 ,09/12/18 ,USFS ,"46,051 ","B, G, T ",HUMAN ,,,,
MDF-1193 ,MODOC ,STONE ,08/15/18 ,09/01/18 ,USFS ,"39,387 ","B, G, T ",LIGHTNING ,2 ,,,
HIA-115 ,HUMBOLDT ,MILL CREEK 1 ,08/16/18 ,08/30/18 ,BIA ,"3,674 ","B, G, T ",HUMAN ,,,,
SQF-2140 ,KERN ,CALL ,08/18/18 ,08/21/18 ,USFS ,367 ,"B, G ",HUMAN ,,,,
LPF-2334 ,SAN LUIS OBISPO ,FRONT ,08/19/18 ,08/29/18 ,USFS ,"1,014 ","B, G ",UNDETERMINED ,,,,
TNF-1355 ,PLACER ,NORTH ,09/03/18 ,09/16/18 ,USFS ,"1,120 ",T ,UNDETERMINED ,,,,
SHF-1438 ,SISKIYOU ,KERLIN ,09/04/18 ,09/17/18 ,USFS ,"1,751 ",T ,HUMAN ,5 ,,,
SHF-1444 ,SHASTA ,DELTA ,09/05/18 ,10/11/18 ,USFS ,"63,311 ","B, T ",HUMAN ,42 ,4 ,,
FHL-2806 ,MONTEREY ,NACIMIENTO ,10/02/18 ,10/03/18 ,MIL ,450 ,G ,UNDETERMINED ,,,,
SQF-2733 ,TULARE ,ALDER ,10/04/18 ,12/22/18 ,USFS ,"4,654 ",T ,LIGHTNING ,,,,
SUI-412 ,SOLANO ,BRANSCOMBE ,10/07/18 ,10/08/18 ,LOCAL ,"4,500 ",G ,UNDETERMINED ,2 ,,,
SQF-2786 ,TULARE ,MOUNTAINEER ,10/13/18 ,12/22/18 ,USFS ,"1,270 ",T ,LIGHTNING ,,,,
RRU-34071 ,RIVERSIDE ,LINCOLN ,03/15/19 ,03/20/19 ,CAL FIRE ,560 ,G ,ARSON ,,,,
SLU-7006 ,SAN LUIS OBISPO ,BELMONT ,05/29/19 ,05/29/19 ,CAL FIRE ,835 ,G ,LIGHTNING ,,,,
SLU-7315 ,SAN LUIS OBISPO ,BOULDER ,06/05/19 ,06/05/19 ,CAL FIRE ,"1,075 ",G ,ELECTRICAL POWER ,,,,
SCU-3879 ,STANISLAUS ,STUHR ,06/07/19 ,06/07/19 ,CAL FIRE ,581 ,G ,EQUIPMENT USE ,,,,
LNU-9880 ,COLUSA ,SAND ,06/08/19 ,06/15/20 ,CAL FIRE ,"2,220 ","B, G ",LIGHTNING ,4 ,,,
SLU-7684 ,SAN LUIS OBISPO ,MCMILLAN ,06/12/19 ,06/13/19 ,CAL FIRE ,"1,763 ",G ,EQUIPMENT USE ,,,,
RRU-79226 ,RIVERSIDE ,JERRY ,06/21/19 ,06/21/19 ,CAL FIRE ,500 ,G ,VEHICLE ,,,,
BEU-3696 ,MONTEREY ,LONOAK ,06/25/19 ,06/26/19 ,CAL FIRE ,"2,546 ",G ,ELECTRICAL POWER ,,,,
SCU-4384 ,STANISLAUS ,ROCK ,06/25/19 ,06/27/19 ,CAL FIRE ,"2,420 ","B, G ",PLAYING WITH FIRE ,,,,
SLU-8993 ,SAN LUIS OBISPO ,GILLIS ,07/08/19 ,07/09/19 ,CAL FIRE ,"1,010 ",G ,EQUIPMENT USE ,1 ,1 ,,
BEU-4344 ,MONTEREY ,LAKE ,07/29/19 ,08/01/19 ,CAL FIRE ,306 ,"B, G ",VEHICLE ,,,,
SCU-5526 ,CONTRA COSTA ,MARSH CREEK 3 ,08/03/19 ,08/07/19 ,CAL FIRE ,340 ,"B, G ",ARSON ,,,,
MMU-17062 ,MERCED ,HUNTER ,08/15/19 ,08/15/19 ,CAL FIRE ,433 ,G ,UNDER INVESTIGATION ,,,,
MMU-17127 ,MERCED ,GAINES ,08/16/19 ,08/20/19 ,CAL FIRE ,"1,300 ",G ,UNDER INVESTIGATION ,,,,
SHU-9030 ,SHASTA ,MOUNTAIN ,08/22/19 ,08/31/19 ,CAL FIRE ,600 ,"B, G ",ARSON ,14 ,7 ,,
TUU-684 ,TULARE ,CREEK ,08/31/19 ,09/04/19 ,CAL FIRE ,756 ,"B, G ",EQUIPMENT USE ,,,,
RRU-113828 ,RIVERSIDE ,TENAJA ,09/04/19 ,09/14/19 ,CAL FIRE ,"1,926 ","B, G ",UNDER INVESTIGATION ,3 ,,,
TGU-9386 ,TEHAMA ,RED BANK ,09/05/19 ,09/17/19 ,CAL FIRE ,"8,836 ","B, G, T ",LIGHTNING ,2 ,,,
BTU-10635 ,BUTTE ,SWEDES ,09/07/19 ,09/09/19 ,CAL FIRE ,496 ,"B, G ",ARSON ,2 ,1 ,,
RRU-118651 ,RIVERSIDE ,HORSESHOE ,09/14/19 ,09/17/19 ,CAL FIRE ,503 ,"B, G ",UNDETERMINED ,,,,
NEU-23002 ,PLACER ,BASELINE ,09/20/19 ,09/21/19 ,CAL FIRE ,640 ,G ,VEHICLE ,,,,
LNU-18056 ,NAPA ,AMERICAN ,10/06/19 ,10/07/19 ,CAL FIRE ,526 ,"B, G ",UNDETERMINED ,1 ,,,
MMU-21257 ,MERCED ,BRICEBURG ,10/06/19 ,10/20/19 ,CAL FIRE ,"5,563 ","B, G ",VEHICLE ,1 ,,,
RRU-130198 ,RIVERSIDE ,RECHE ,10/10/19 ,10/12/19 ,CAL FIRE ,350 ,"B, G ",UNDETERMINED ,1 ,1 ,,
SBC-25032 ,SANTA BARBARA ,REAL ,10/17/19 ,10/21/19 ,CC ,420 ,"B, G ",HUMAN ,,,,
LNU-19376 ,SONOMA ,KINCADE ,10/23/19 ,11/10/19 ,CAL FIRE ,"77,758 ","B, G, T ",ELECTRICAL POWER ,374 ,60 ,,
TGU-11434 ,TEHAMA ,RAWSON ,10/26/19 ,10/27/19 ,CAL FIRE ,605 ,G ,VEHICLE ,1 ,3 ,,
MEU-13345 ,MENDOCINO ,BURRIS ,10/27/19 ,11/02/19 ,CAL FIRE ,703 ,"B, G ",UNDER INVESTIGATION ,,,,
VNC-41710 ,VENTURA ,EASY ,10/30/19 ,11/08/19 ,CC ,"2,375 ","B, T ",ELECTRICAL POWER ,1 ,1 ,,
RRU-139654 ,RIVERSIDE ,HILL ,10/31/19 ,11/03/19 ,CAL FIRE ,628 ,"B, G ",UNDER INVESTIGATION ,,,,
RRU-139997 ,RIVERSIDE ,46TH ,10/31/19 ,10/31/19 ,CAL FIRE ,328 ,"B, G ",VEHICLE ,7 ,7 ,,
VNC-42100 ,VENTURA ,MARIA ,10/31/19 ,11/06/19 ,CC ,"9,999 ","B, G ",ELECTRICAL POWER ,4 ,,,
TGU-11766 ,TEHAMA ,RANCH ,11/03/19 ,11/06/19 ,CAL FIRE ,"2,534 ","B, T ",CAMPFIRE ,1 ,,,
NEU-28628 ,PLACER ,FOOTHILLS ,11/25/19 ,11/25/19 ,CAL FIRE ,308 ,"B, G ",VEHICLE ,,,,
KRN-18282 ,KERN ,REFUGE ,05/07/19 ,05/08/19 ,LOCAL ,"2,500 ",G ,UNDETERMINED ,,,,
STF-1355 ,ALPINE ,ROSASCO ,05/23/19 ,09/11/19 ,USFS ,731 ,T ,HUMAN ,,,,
STC-13326 ,SUTTER ,WEST BUTTE ,06/08/19 ,06/09/19 ,LOCAL ,"1,300 ",G ,UNDETERMINED ,7 ,,,
INF-903 ,TULARE ,JORDAN ,06/09/19 ,07/01/19 ,USFS ,591 ,B ,UNDETERMINED ,,,,
MNF-241 ,SISKIYOU ,EAST ,06/17/19 ,07/18/19 ,USFS ,410 ,"B, T ",LIGHTNING ,,,,
INF-1435 ,TULARE ,COW ,07/25/19 ,10/11/19 ,USFS ,"2,025 ",T ,LIGHTNING ,,,,
INF-1465 ,INYO ,SPRINGS ,07/26/19 ,10/01/19 ,USFS ,"4,840 ","B, T ",LIGHTNING ,,,,
MDF-509 ,MODOC ,TUCKER ,07/28/19 ,08/04/19 ,USFS ,"14,150 ","B, G, T ",UNDETERMINED ,,,,
LPF-1678 ,MONTEREY ,MILL ,07/30/19 ,08/08/19 ,USFS ,310 ,"B, G, T ",UNDETERMINED ,,,,
SND-19114701 ,SAN DIEGO ,CALIENTE ,08/01/19 ,08/03/19 ,LOCAL ,448 ,G ,UNDETERMINED ,,,,
NOD-4382 ,LASSEN ,W-1 MCDONALD ,08/08/19 ,08/11/19 ,BLM ,"1,020 ","B, G ",LIGHTNING ,,,,
SQF-1708 ,TULARE ,BRODER ,08/08/19 ,09/20/19 ,USFS ,381 ,"B, T ",LIGHTNING ,,,,
CDD-12920 ,SAN BERNARDINO ,BARSTOW ,08/11/19 ,08/12/19 ,LOCAL ,685 ,G ,UNDETERMINED ,,,,
CCD-30580 ,LASSEN ,LONG VALLEY ,08/24/19 ,08/27/19 ,BLM ,"2,438 ","B, G ",UNDETERMINED ,1 ,4 ,,
NOD-4869 ,LASSEN ,R-1 RANCH ,08/28/19 ,09/04/19 ,BLM ,"3,380 ","B, G, T ",LIGHTNING ,,,,
SHF-1209 ,TEHAMA ,SOUTH ,09/05/19 ,11/27/19 ,USFS ,"5,332 ","B, T ",LIGHTNING ,2 ,,,
PNF-1324 ,LASSEN ,WALKER ,09/04/19 ,09/25/19 ,USFS ,"54,608 ","B, T ",UNDETERMINED ,9 ,,,
INF-2018 ,INYO ,TABOOSE ,09/04/19 ,11/21/19 ,USFS ,"10,400 ","B, G, T ",LIGHTNING ,,,,
MDF-836 ,MODOC ,LONE ,09/05/19 ,09/17/19 ,USFS ,"5,737 ","B, G, T ",LIGHTNING ,,,,
KNF-7074 ,SISKIYOU ,LIME ,09/05/19 ,09/25/19 ,USFS ,"1,872 ","B, T ",LIGHTNING ,,,,
SHF-1196 ,SISKIYOU ,MIDDLE ,09/05/19 ,10/11/19 ,USFS ,"1,339 ","B, T ",LIGHTNING ,,,,
CMS-1901132 ,RIVERSIDE ,SANDALWOOD ,10/10/19 ,10/15/19 ,LOCAL ,"1,011 ","B, T ",UNDETERMINED ,73 ,16 ,2 ,
LFD-1582 ,LOS ANGELES ,SADDLE RIDGE ,10/10/19 ,10/26/19 ,LOCAL ,"8,799 ","B, G, T ",UNDETERMINED ,24 ,91 ,1 ,
ENF-30945 ,EL DORADO ,CAPLES ,10/10/19 ,10/31/19 ,USFS ,"3,435 ","B, T ",PRESCRIBED FIRE ,,,,
LAC-326166 ,LOS ANGELES ,TICK ,10/24/19 ,10/31/19 ,LOCAL ,"3,950 ","B, G ",UNDETERMINED ,29 ,46 ,,
LFD-1583 ,LOS ANGELES ,GETTY ,10/28/19 ,11/14/19 ,LOCAL ,745 ,"B, G ",ELECTRICAL POWER ,13 ,19 ,,
LPF-2908 ,SANTA BARBARA ,CAVE ,11/25/19 ,12/13/19 ,USFS ,"3,126 ","B, G ",UNDETERMINED ,1 ,,,
NEU-11799 ,PLACER ,AMORUSO ,06/01/20 ,06/01/20 ,CAL FIRE ,670 ,G ,EQUIPMENT USE ,,,,
LNU-8419 ,SOLANO ,QUAIL ,06/06/20 ,06/13/20 ,CAL FIRE ,"1,837 ",T ,FIREARMS ,5 ,12 ,,
SLU-7149 ,SAN LUIS OBISPO ,SODA ,06/10/20 ,06/10/20 ,CAL FIRE ,"1,680 ",G ,VEHICLE ,,,,
VNC-45530 ,VENTURA ,ELIZABETH ,06/10/20 ,06/12/20 ,CC ,300 ,B ,UNDETERMINED ,,,,
VNC-45754 ,VENTURA ,LIME ,06/10/20 ,06/16/20 ,CC ,803 ,"B, G ",UNDETERMINED ,,,,
AEU-16543 ,SACRAMENTO ,GRANT ,06/12/20 ,06/19/20 ,CAL FIRE ,"5,042 ",G ,EQUIPMENT USE ,1 ,,,
SBC-12322 ,SANTA BARBARA ,DRUM ,06/14/20 ,06/17/20 ,CC ,696 ,"B, G ",ELECTRICAL POWER ,,,,
FKU-8094 ,FRESNO ,EAGLE ,06/13/20 ,06/15/20 ,CAL FIRE ,300 ,G ,UNDETERMINED ,,,,
SLU-7409 ,SAN LUIS OBISPO ,AVILA ,06/15/20 ,06/20/20 ,CAL FIRE ,445 ,"B, G ",UNDER INVESTIGATION ,1 ,,,
BEU-2847 ,SAN BENITO ,BITTER ,06/16/20 ,06/20/20 ,CAL FIRE ,813 ,"B, G ",VEHICLE ,,,,
TCU-6494 ,AMADOR ,WALKER ,06/16/20 ,06/21/20 ,CAL FIRE ,"1,455 ","B, G ",EQUIPMENT USE ,2 ,2 ,,
BEU-2986 ,MONTEREY ,RICO ,06/22/20 ,06/23/20 ,CAL FIRE ,348 ,G ,ELECTRICAL POWER ,,,,
TUU-298 ,TULARE ,GRADE ,06/22/20 ,06/25/20 ,CAL FIRE ,"1,050 ",G ,UNDER INVESTIGATION ,,,,
MMU-13431 ,MERCED ,PASS ,06/28/20 ,06/30/20 ,CAL FIRE ,"2,192 ","B, G ",ELECTRICAL POWER ,,,,
KRN-27271 ,KERN ,BENA ,07/01/20 ,07/05/20 ,CC ,"4,000 ","B, G ",EQUIPMENT USE ,,,,
MMU-13801 ,FRESNO ,BONADELLE ,07/02/20 ,07/03/20 ,CAL FIRE ,500 ,G ,EQUIPMENT USE ,,,,
SCU-4669 ,SANTA CLARA ,PARK ,07/04/20 ,07/08/20 ,CAL FIRE ,353 ,"B, G ",PLAYING WITH FIRE ,,,,
SLU-8435 ,SAN LUIS OBISPO ,LAKE ,07/04/20 ,07/05/20 ,CAL FIRE ,583 ,G ,VEHICLE ,1 ,,,
LAC-197926 ,LOS ANGELES ,SOLEDAD ,07/05/20 ,07/06/20 ,CC ,"1,525 ","B, G ",MISCELLANEOUS ,,,,
SCU-4686 ,SANTA CLARA ,CREWS ,07/05/20 ,07/20/20 ,CAL FIRE ,"5,513 ","B, G ",ELECTRICAL POWER ,4 ,,,
FKU-10219 ,FRESNO ,MINERAL ,07/13/20 ,07/26/20 ,CAL FIRE ,"29,667 ","B, G ",STRUCTURE ,7 ,,,
BEU-3441 ,SAN BENITO ,COYOTE ,07/15/20 ,07/18/20 ,CAL FIRE ,"1,485 ","B, G ",UNDER INVESTIGATION ,1 ,,,
LMU-3874 ,LASSEN ,HOG ,07/18/20 ,08/28/20 ,CAL FIRE ,"9,564 ",T ,UNDER INVESTIGATION ,2 ,,,
SKU-5356 ,SISKIYOU ,BADGER ,07/18/20 ,07/28/20 ,CAL FIRE ,557 ,"B, G, T ",VEHICLE ,,,,
SHU-7049 ,SHASTA ,PLATINA ,07/19/20 ,07/27/20 ,CAL FIRE ,333 ,"B, G ",DEBRIS BURNING ,,,,
LMU-3917 ,LASSEN ,GOLD ,07/20/20 ,09/29/20 ,CAL FIRE ,"22,614 ","B, T ",UNDETERMINED ,13 ,5 ,,
FKU-10922 ,FRESNO ,WILD ,07/25/20 ,07/25/20 ,CAL FIRE ,"1,040 ",G ,ARSON ,,,,
LAC-222638 ,LOS ANGELES ,RIDGE ,07/27/20 ,07/27/20 ,CC ,321 ,"B, G, T ",UNDETERMINED ,,,,
MMU-16043 ,MERCED ,COTTONWOOD ,07/27/20 ,07/29/20 ,CAL FIRE ,788 ,G ,VEHICLE ,,,,
SLU-9669 ,SAN LUIS OBISPO ,BRANCH ,07/28/20 ,08/03/20 ,CAL FIRE ,"3,222 ",G ,VEHICLE ,8 ,,,
AEU-22430 ,SACRAMENTO ,CLAY ,07/29/20 ,07/29/20 ,CAL FIRE ,741 ,G ,SMOKING ,,,,
FKU-11181 ,FRESNO ,LINCOLN ,07/29/20 ,07/29/20 ,CAL FIRE ,640 ,G ,ARSON ,,,,
RRU-96640* ,RIVERSIDE ,APPLE ,07/31/20 ,11/18/20 ,CAL FIRE ,"33,424 ","B, G ",VEHICLE ,13 ,6 ,,
SLU-9866 ,SAN LUIS OBISPO ,POND ,08/01/20 ,08/09/20 ,CAL FIRE ,"2,005 ","B, G ",STRUCTURE ,4 ,1 ,,
LNU-12277 ,COLUSA ,SITES ,08/02/20 ,08/06/20 ,CAL FIRE ,560 ,"B, T ",UNDER INVESTIGATION ,1 ,1 ,,
SLU-10018 ,SAN LUIS OBISPO ,PASS ,08/04/20 ,08/05/20 ,CAL FIRE ,322 ,G ,VEHICLE ,,,,
AEU-24350 ,SACRAMENTO ,MEISS ,08/13/20 ,08/15/20 ,CAL FIRE ,512 ,G ,FIREARMS ,,,,
FKU-12279 ,FRESNO ,HILLS ,08/15/20 ,09/27/20 ,CAL FIRE ,"2,121 ","B, G ",LIGHTNING ,1 ,,,
SLU-10533 ,SAN LUIS OBISPO ,WHALE ,08/15/20 ,08/18/20 ,CAL FIRE ,320 ,G ,LIGHTNING ,,,,
BEU-4024 ,MONTEREY ,RIVER ,08/16/20 ,09/04/20 ,CAL FIRE ,"48,088 ","B, G ",LIGHTNING ,30 ,13 ,,
CZU-5205* ,SAN MATEO ,CZU AUGUST LIGHTNING COMPLEX ,08/16/20 ,09/22/20 ,CAL FIRE ,"86,509 ","B, T ",LIGHTNING ,"1,490 ",140 ,1 ,
CZU-5205* ,SANTA CRUZ ,CZU AUGUST LIGHTNING COMPLEX ,08/16/20 ,09/22/20 ,CAL FIRE ,"86,509 ","B, T ",LIGHTNING ,"1,490 ",140 ,1 ,
SCU-5740* ,CONTRA COSTA ,SCU LIGHTNING COMPLEX ,08/16/20 ,09/15/20 ,CAL FIRE ,"396,625 ","B, G ",LIGHTNING ,225 ,26 ,,
SCU-5740* ,SANTA CLARA ,SCU LIGHTNING COMPLEX ,08/16/20 ,09/15/20 ,CAL FIRE ,"396,625 ","B, G ",LIGHTNING ,225 ,26 ,,
SCU-5740* ,ALAMEDA ,SCU LIGHTNING COMPLEX ,08/16/20 ,09/15/20 ,CAL FIRE ,"396,625 ","B, G ",LIGHTNING ,225 ,26 ,,
